artifact,artifact_type,technique,ref_type,ref_value,source_file
CleverHans,Tool,Madry Et Al,author_citation,"Madry et al, 2017",cleverhans/tf2/attacks/madry_et_al.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1412.6572,cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1611.01236,cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Madry et al., 2017",cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Momentum Iterative Method,arxiv,1611.01236,cleverhans/tf2/attacks/momentum_iterative_method.py
CleverHans,Tool,Momentum Iterative Method,author_citation,"Dong et al., 2017",cleverhans/tf2/attacks/momentum_iterative_method.py
CleverHans,Tool,Momentum Iterative Method,author_citation,"NIPS, 2017",cleverhans/tf2/attacks/momentum_iterative_method.py
CleverHans,Tool,Spsa,arxiv,1802.05666,cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Spsa,arxiv,1802.05666,cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Spsa,arxiv,1412.6980,cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Spsa,author_citation,"Uesato et al., 2018",cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Fast Gradient Method,arxiv,1412.6572,cleverhans/tf2/attacks/fast_gradient_method.py
CleverHans,Tool,Fast Gradient Method,arxiv,1611.01236,cleverhans/tf2/attacks/fast_gradient_method.py
CleverHans,Tool,Carlini Wagner L2,arxiv,1608.04644,cleverhans/tf2/attacks/carlini_wagner_l2.py
CleverHans,Tool,Success Fail,author_citation,"after, 2019",cleverhans/plot/success_fail.py
CleverHans,Tool,Semantic,arxiv,1703.06857,cleverhans/torch/attacks/semantic.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1412.6572,cleverhans/torch/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1611.01236,cleverhans/torch/attacks/projected_gradient_descent.py
