is_aml_paper,arxiv_id,found_in_artifacts,paper_title,paper_authors,paper_pub_date,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3
YES,1412.6572,"CleverHans, IBM ART",Explaining and Harnessing Adversarial Examples,Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy,2014-12-20,,,,,,,,,,,,
NO - Exclude,1412.6980,"CleverHans, PyRIT",Adam: A Method for Stochastic Optimization,Diederik P. Kingma; Jimmy Ba,2014-12-22,,,,,,,,,,,,
NO - Exclude,1506.02025,Foolbox,Spatial Transformer Networks,Max Jaderberg; Karen Simonyan; Andrew Zisserman; Koray Kavukcuoglu,2015-06-05,,,,,,,,,,,,
YES - Defense,1507.00677,"Foolbox, IBM ART",Distributional Smoothing with Virtual Adversarial Training,Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii,2015-07-02,,,,,,,,,,,,
YES,1511.04599,"Foolbox, IBM ART",DeepFool: a simple and accurate method to fool deep neural networks,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Pascal Frossard,2015-11-14,,,,,,,,,,,,
YES,1511.05122,IBM ART,Adversarial Manipulation of Deep Representations,Sara Sabour; Yanshuai Cao; Fartash Faghri; David J. Fleet,2015-11-16,,,,,,,,,,,,
YES,1511.07528,IBM ART,The Limitations of Deep Learning in Adversarial Settings,Nicolas Papernot; Patrick McDaniel; Somesh Jha; Matt Fredrikson; Z. Berkay Celik...,2015-11-24,,,,,,,,,,,,
YES,1605.07277,IBM ART,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples,Nicolas Papernot; Patrick McDaniel; Ian Goodfellow,2016-05-24,,,,,,,,,,,,
YES,1607.02533,"Foolbox, IBM ART",Adversarial examples in the physical world,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-07-08,,,,,,,,,,,,
YES,1608.04644,"CleverHans, Foolbox, IBM ART",Towards Evaluating the Robustness of Neural Networks,Nicholas Carlini; David Wagner,2016-08-16,,,,,,,,,,,,
YES,1610.05820,IBM ART,Membership Inference Attacks against Machine Learning Models,Reza Shokri; Marco Stronati; Congzheng Song; Vitaly Shmatikov,2016-10-18,,,,,,,,,,,,
YES,1610.08401,IBM ART,Universal adversarial perturbations,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Omar Fawzi; Pascal Frossard,2016-10-26,,,,,,,,,,,,
YES,1611.01236,"CleverHans, IBM ART",Adversarial Machine Learning at Scale,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-11-04,,,,,,,,,,,,
NO - Exclude,1611.05431,RobustBench,Aggregated Residual Transformations for Deep Neural Networks,Saining Xie; Ross Girshick; Piotr Dollár; Zhuowen Tu; Kaiming He,2016-11-16,,,,,,,,,,,,
YES,1703.06857,CleverHans,On the Limitation of Convolutional Neural Networks in Recognizing Negative Images,Hossein Hosseini; Baicen Xiao; Mayoore Jaiswal; Radha Poovendran,2017-03-20,,,,,,,,,,,,
YES,1706.06083,IBM ART,Towards Deep Learning Models Resistant to Adversarial Attacks,Aleksander Madry; Aleksandar Makelov; Ludwig Schmidt; Dimitris Tsipras; Adrian Vladu,2017-06-19,,,,,,,,,,,,
