is_aml_paper,arxiv_id,found_in_artifacts,paper_title,paper_authors,paper_pub_date,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months
YES,1412.6572,"CleverHans, IBM ART",Explaining and Harnessing Adversarial Examples,Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy,2014-12-20,,,,,,,,,,,,,2017-06-07,IBM ART,CleverHans:2018-12-26; CleverHans:2019-04-22; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2019-06-27; IBM ART:2017-06-07; IBM ART:2017-06-07,29.6
NO - Exclude,1412.6980,"CleverHans, PyRIT",Adam: A Method for Stochastic Optimization,Diederik P. Kingma; Jimmy Ba,2014-12-22,,,,,,,,,,,,,2019-01-09,CleverHans,CleverHans:2019-01-09; PyRIT:2025-09-26,48.6
NO - Exclude,1506.02025,Foolbox,Spatial Transformer Networks,Max Jaderberg; Karen Simonyan; Andrew Zisserman; Koray Kavukcuoglu,2015-06-05,,,,,,,,,,,,,2020-03-30,Foolbox,Foolbox:2020-03-30,57.8
YES - Defense,1507.00677,"Foolbox, IBM ART",Distributional Smoothing with Virtual Adversarial Training,Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii,2015-07-02,,,,,,,,,,,,,2017-06-12,IBM ART,IBM ART:2017-06-12; IBM ART:2017-06-12; Foolbox:2020-02-07,23.4
YES,1511.04599,"Foolbox, IBM ART",DeepFool: a simple and accurate method to fool deep neural networks,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Pascal Frossard,2015-11-14,,,,,,,,,,,,,2017-06-01,IBM ART,IBM ART:2017-06-01; IBM ART:2017-06-01; Foolbox:2020-01-14; Foolbox:2020-01-14; Foolbox:2020-01-14,18.6
YES,1511.05122,IBM ART,Adversarial Manipulation of Deep Representations,Sara Sabour; Yanshuai Cao; Fartash Faghri; David J. Fleet,2015-11-16,,,,,,,,,,,,,2020-04-10,IBM ART,IBM ART:2021-05-26; IBM ART:2021-05-26; IBM ART:2020-04-10; IBM ART:2020-04-10; IBM ART:2021-05-26; IBM ART:2021-05-26,52.8
YES,1511.07528,IBM ART,The Limitations of Deep Learning in Adversarial Settings,Nicolas Papernot; Patrick McDaniel; Somesh Jha; Matt Fredrikson; Z. Berkay Celik...,2015-11-24,,,,,,,,,,,,,2017-06-12,IBM ART,IBM ART:2017-06-12; IBM ART:2017-06-12,18.6
YES,1605.07277,IBM ART,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples,Nicolas Papernot; Patrick McDaniel; Ian Goodfellow,2016-05-24,,,,,,,,,,,,,2019-07-01,IBM ART,IBM ART:2019-07-01,37.2
YES,1607.02533,"Foolbox, IBM ART",Adversarial examples in the physical world,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-07-08,,,,,,,,,,,,,2018-06-28,IBM ART,IBM ART:2018-06-28; IBM ART:2018-06-28; Foolbox:2019-12-11,23.7
YES,1608.04644,"CleverHans, Foolbox, IBM ART",Towards Evaluating the Robustness of Neural Networks,Nicholas Carlini; David Wagner,2016-08-16,,,,,,,,,,,,,2017-11-28,IBM ART,CleverHans:2020-04-03; CleverHans:2020-01-02; IBM ART:2017-11-28; IBM ART:2017-11-28; IBM ART:2017-11-28; Foolbox:2019-10-30,15.4
YES,1610.05820,IBM ART,Membership Inference Attacks against Machine Learning Models,Reza Shokri; Marco Stronati; Congzheng Song; Vitaly Shmatikov,2016-10-18,,,,,,,,,,,,,2021-08-23,IBM ART,IBM ART:2021-08-23; IBM ART:2021-08-23,58.1
YES,1610.08401,IBM ART,Universal adversarial perturbations,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Omar Fawzi; Pascal Frossard,2016-10-26,,,,,,,,,,,,,2017-06-07,IBM ART,IBM ART:2017-06-07; IBM ART:2017-06-07,7.4
YES,1611.01236,"CleverHans, IBM ART",Adversarial Machine Learning at Scale,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-11-04,,,,,,,,,,,,,2017-06-07,IBM ART,CleverHans:2018-12-26; CleverHans:2019-10-04; CleverHans:2019-04-22; CleverHans:2018-12-26; CleverHans:2019-07-11; CleverHans:2018-12-26; CleverHans:2020-01-02; CleverHans:2018-12-26; CleverHans:2019-06-27; IBM ART:2019-11-08; IBM ART:2020-02-09; IBM ART:2019-11-08; IBM ART:2019-11-08; IBM ART:2017-11-28; IBM ART:2017-11-28; IBM ART:2017-11-28; IBM ART:2019-11-08; IBM ART:2017-06-07; IBM ART:2019-11-08; IBM ART:2020-04-16; IBM ART:2020-04-16; IBM ART:2020-04-16; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26,7.1
NO - Exclude,1611.05431,RobustBench,Aggregated Residual Transformations for Deep Neural Networks,Saining Xie; Ross Girshick; Piotr Dollár; Zhuowen Tu; Kaiming He,2016-11-16,,,,,,,,,,,,,2021-02-12,RobustBench,RobustBench:2021-02-12,50.9
YES,1703.06857,CleverHans,On the Limitation of Convolutional Neural Networks in Recognizing Negative Images,Hossein Hosseini; Baicen Xiao; Mayoore Jaiswal; Radha Poovendran,2017-03-20,,,,,,,,,,,,,2019-04-20,CleverHans,CleverHans:2019-04-20,25.0
YES,1706.06083,IBM ART,Towards Deep Learning Models Resistant to Adversarial Attacks,Aleksander Madry; Aleksandar Makelov; Ludwig Schmidt; Dimitris Tsipras; Adrian Vladu,2017-06-19,,,,,,,,,,,,,2018-09-26,IBM ART,IBM ART:2020-04-16; IBM ART:2020-04-16; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26,15.2
